LocID,Latitude,Longitude,MaxRunwayLen
5AK2,64.73068611,-147.3476861,1800
HUS,66.03908333,-154.2646944,3381
AK66,61.45763333,-148.7953583,1200
10AK,61.59188056,-149.6779111,800
HLA,65.69786111,-156.3513889,4000
79AK,61.48183889,-149.7440194,1500
19AK,59.96901944,-141.6617694,3430
2AK8,70.29248889,-161.9033333,3200
IGG,59.32404167,-155.9017722,3000
ILI,59.75557778,-154.9177528,5086
2AK9,65.67347778,-162.4640639,1800
4AK1,70.00383056,-153.0775694,5000
7AK4,61.54148056,-149.4606806,1915
8AK1,62.28028333,-145.3627667,1200
AK0,61.21887222,-142.8912111,1000
4Z9,59.45216111,-151.5223806,1000
AK72,61.70519167,-150.5993417,1950
3AK4,60.63248889,-151.3400139,1860
Z52,56.03668611,-160.2662056,1325
27AK,61.9454,-151.0369667,1700
2AK5,60.481675,-146.5842528,1700
AK79,61.59355,-149.5665,1300
JNU,58.35471111,-134.5784694,8857
06AK,61.62761944,-149.5753306,1750
AFE,56.96136389,-133.9102611,4000
9AK2,61.899,-161.4397222,2600
0AA7,60.49153889,-151.2352528,2539
43AK,61.60076111,-149.5791694,2800
KLG,61.53597222,-160.3455833,3198
KAL,64.31898056,-158.7413056,3986
5Z5,63.54098611,-150.9950778,1887
KYK,57.56605556,-154.4538056,2000
Z09,60.87333333,-162.5243056,3000
5KS,60.35051944,-151.2628556,2400
RK1,69.67677778,-146.9000444,5500
ENA,60.57327778,-151.2448333,7855
1AK4,60.52415556,-150.7522083,2100
KTN,55.35408333,-131.7112222,9500
KVC,55.11638333,-162.2665361,3500
AK59,61.79111111,-148.3516667,1800
AKN,58.67649444,-156.6486917,8901
IIK,59.93161111,-164.0281111,3200
KVL,67.73613889,-164.5635,3000
AKW,55.57922222,-133.076,5000
OBU,66.91233333,-156.8973333,4020
ADQ,57.74979444,-152.4939444,7534
KDK,57.80591667,-152.3738417,2475
9K2,59.43328611,-154.8025917,3300
JZZ,59.72675,-157.26025,3300
DUY,59.96163056,-162.8805944,2400
2A9,63.03058333,-163.5326389,4400
KKA,64.93952778,-161.1542778,3002
KYU,64.87580556,-157.7304444,4000
AK86,61.57353889,-149.91135,850
39AK,61.58602778,-149.2359806,1200
63AK,61.58433056,-149.9381,1200
LKK,58.96500556,-155.0956139,5000
KWT,60.79033333,-161.4436944,3199
GGV,59.87558333,-163.1680389,1835
LHD,61.18663889,-149.9653944,4541
Z55,62.29161944,-146.57735,2900
78AA,64.77176111,-147.2466917,1600
53AK,60.53386111,-150.8564639,1200
AK22,64.82166667,-147.5216667,4000
2A3,57.53508333,-153.9766667,2690
3AK7,61.76557778,-150.3389056,1080
9Z9,60.41188333,-149.3693417,2355
55AK,61.49578056,-149.6993194,1700
9AK6,61.62406111,-149.6483,1800
9Z8,59.12708333,-156.8598889,3284
2AK,61.35913056,-155.4403861,1500
89AK,61.55938889,-149.7054694,2000
8AK6,61.37194444,-150.2622222,2600
4AK,65.46726944,-148.6537472,3000
4AK3,61.37788333,-143.3259583,1150
AK69,61.72931944,-150.0976694,1800
OL99,59.70341389,-151.4964583,840
00AK,59.94888889,-151.6922222,2500
2AK0,61.25588056,-149.9746556,1400
4AK5,62.98988333,-144.48,2300
MLY,64.98794444,-150.6475833,3400
MBA,58.93205556,-158.9018889,3300
MDM,61.86416667,-162.0261111,3200
AK92,61.63742778,-149.0286556,600
74AK,61.58231111,-148.9969806,3000
MYK,61.33616111,-142.6858861,2700
15Z,61.43781944,-142.9025028,3501
AK73,60.72527222,-151.3022361,4000
MCG,62.95278333,-155.6070472,5936
81AK,62.56769167,-150.2360222,1650
INR,63.73259722,-148.9106389,3000
MYU,60.37238889,-166.2701944,3001
38AK,61.56245,-149.6678389,1500
5AK8,61.63135,-149.4324194,1000
CDV,60.49163889,-145.4775583,7500
MRI,61.21354444,-149.844725,4000
F02,60.81838611,-164.5190139,2000
MTF,64.80678889,-147.7624222,4600
MDO,59.44994444,-146.3072417,3158
MHM,63.88597222,-152.3018333,4184
51Z,65.14816667,-149.3685833,3400
AK68,61.72027778,-150.0544444,1200
AK52,64.88888889,-147.5355944,1320
21AK,62.08261111,-150.0669306,2300
99AK,62.59904167,-157.1518056,1200
9AK9,60.55298056,-150.6408333,1900
AK55,60.48916667,-150.8016667,2000
MOS,64.69818056,-162.0573,3000
MOU,62.09477778,-163.6828611,3501
76Z,58.92760556,-157.0471528,800
5NK,58.73466389,-157.0252111,2000
KEB,59.35214722,-151.9251556,1850
4AK8,61.53631389,-158.7389639,2500
WNA,60.69033333,-161.9785,3248
PKA,60.70291389,-161.7783083,15000
OUL,56.00753611,-161.1603667,4003
ENN,64.5473,-149.073925,4600
KNW,59.45152778,-157.3731667,3281
EWU,60.93913889,-164.64125,2202
IGT,60.46916944,-164.7040389,3200
3AK2,61.6275,-149.2867306,700
FSP,63.01855833,-154.3584389,4001
9AK3,61.01388333,-151.4489111,4100
IKO,52.94155556,-168.8490278,3512
NIN,60.02023333,-151.5894194,2400
AK40,63.22918056,-154.7603361,4200
WTK,67.56116667,-162.9804167,3992
OME,64.51255556,-165.4443889,6176
94Z,64.51142222,-165.3902306,1950
5NN,59.98023056,-154.839175,2800
8AK8,61.63,-149.6825806,1500
ORT,62.96116667,-141.9280833,5100
33AK,62.51725556,-150.9453417,1240
AQT,70.20983333,-151.0064722,4589
NUL,64.72933333,-158.0742222,4011
SXP,62.52041667,-164.8476444,15000
16A,60.906,-162.4405833,3000
AK21,59.13258333,-157.7771806,1000
ZNC,60.98103056,-159.9939194,4512
6R7,57.21830556,-153.2698306,2750
Z17,63.14591944,-156.5289083,1940
4K5,57.94215556,-152.4649944,3300
20AK,61.50378889,-149.8960444,1100
07AA,61.69596389,-149.9549028,2060
0AK3,62.034825,-150.4910444,1000
AK63,61.58861111,-149.1425,1800
PXK,63.02458056,-145.50055,1900
4K0,59.79694444,-154.1299722,3002
59AK,61.63178056,-149.3406111,1500
PEV,55.90672222,-159.1608306,3300
PSG,56.80147222,-132.9462222,6400
PNP,57.58038056,-157.5719556,3280
0AK,61.96147778,-162.9423556,4000
AK25,61.6175,-149.6147389,1200
PTU,59.01783056,-161.8271917,5000
6AK1,58.91171667,-161.7138917,2000
76AK,64.46746389,-144.9208917,3000
PHO,68.34875,-166.7992778,3992
PIZ,69.73288889,-163.0053333,4500
AK36,61.43601944,-150.1223611,3000
37AA,70.136,-146.2900278,5000
35AK,61.64065556,-150.5161472,1050
A14,58.906525,-157.7111667,1920
TPO,60.20433333,-154.3188722,3000
PGM,59.348475,-151.8303222,1975
PTH,56.9591,-158.6333611,5000
ORI,57.884925,-152.8475722,2200
1AK3,56.00598611,-160.5607917,3500
PPC,66.81405556,-150.6436111,4968
01A,62.94075556,-152.2696083,1176
20K,65.35471944,-149.7613778,1650
JLA,60.48426389,-149.7229,2200
5QC,65.40593333,-164.655725,2960
AQH,59.75509444,-161.8453667,4000
6AK7,61.57472222,-149.635,2000
6AK,62.08414167,-152.717525,2100
TAL,65.17438889,-152.1081111,4400
OTZ,66.88480556,-162.5981389,6300
RMP,65.5079,-150.1408333,3520
AK96,57.51640833,-157.3859528,5000
0AA5,62.31277778,-150.3358333,1860
AK80,62.29111111,-147.4069444,1310
RDV,61.78805556,-157.35025,4820
DGG,68.03211111,-162.8991944,6312
AK29,61.6126,-149.8522806,1600
29AK,64.04960833,-145.4189917,1800
D76,66.81752778,-161.02225,4000
50AK,61.38046111,-150.11625,2500
11AK,63.99960556,-145.5023167,2200
8AK3,66.76604444,-160.1527694,3000
RBY,64.72722222,-155.4698889,4000
RSH,61.77489167,-161.3194,3620
02AK,61.87691111,-150.0976389,2200
Z81,64.90900833,-165.0147167,2000
SDP,55.31369444,-160.521425,5213
13AK,61.6547,-149.9,980
SVA,63.68627778,-170.4931667,4400
SCM,61.84454167,-165.57375,3001
AK64,61.94842222,-151.5241861,900
AK84,60.52944444,-150.8308333,2400
0AK0,64.3925,-146.8620833,1050
49AK,62.02448056,-149.9772417,2800
WLK,66.60013889,-159.98575,3002
SOV,59.44390556,-151.7050417,1845
41AK,61.5009,-149.6397,1900
SWD,60.12988611,-149.4166306,4249
SHX,62.69230556,-159.5692222,5000
2C7,64.37108333,-161.2239722,4001
AK47,61.58568889,-149.56335,1100
SMU,61.81128056,-147.5090528,2270
AA25,61.50786667,-149.078925,1104
AK90,61.74471944,-150.1154611,1800
SHH,66.24958333,-166.0893611,4997
AA00,62.51015,-149.9267167,650
SHG,66.88808333,-157.1624167,4001
